index,opt_cost_model,opt_dist_model,opt_cost_sim,opt_dist_sim,pp_cost_model,pp_dist_model,pp_cost_sim,pp_dist_sim,ratio_opt_model,ratio_opt_sim,ratio_pp_model,ratio_pp_sim,wind_direction
0,2088.07560737067,13928.0035987029,3253.597590501909,14943.565142194524,5465.96520548975,12000.0,6412.943071841355,13660.118626464588,0.1499192323273904,0.21772566047944467,0.45549710045747915,0.4694646691733091,0
1,2189.3295260805,17122.6206244063,3128.0299304690825,17926.52885691547,5464.10316054424,12000.0,6342.610177487677,13479.34658283217,0.1278618252488679,0.1744916684895409,0.45534193004535334,0.4705428515033419,15
2,2550.07182442403,18999.8003366672,3728.2987499714827,20018.88403361037,5464.10316054424,12000.0,5809.137542934343,13153.73763346975,0.1342157169674418,0.1862390902365945,0.45534193004535334,0.44163398304014856,30
3,3060.54729762397,14727.0779853969,5410.735286875061,16024.311467621743,5432.98321204686,12000.0,5821.488554018876,12809.829213630721,0.20781768797983907,0.33765789549259795,0.452748601003905,0.45445481410668065,45
4,4032.3129021676205,18000.9139291164,7269.587189422136,19759.46643130149,5432.98321204686,12000.0,5733.848833080387,12520.025278249952,0.22400600980850044,0.3679040228488251,0.452748601003905,0.45797422174868513,60
5,5330.9296603456705,12211.657094214299,5744.3721023521175,12645.78012074578,5442.39299982008,12000.0,5579.646976014815,12320.596473069641,0.43654432966934403,0.4542520941771163,0.4535327499850067,0.4528714975943581,75
6,5442.39299982008,12000.0,5547.4098884598925,12229.903872689816,5442.39299982008,12000.0,5547.4098884598925,12229.903872689816,0.4535327499850067,0.45359390770418284,0.4535327499850067,0.45359390770418284,90
7,5442.37089721704,12000.0,5579.053946192089,12320.596293624438,5442.37089721704,12000.0,5579.053946192089,12320.596293624438,0.45353090810142,0.4528233709823844,0.45353090810142,0.4528233709823844,105
8,5442.37089721704,12000.0,5723.287486229353,12520.02565402928,5442.37089721704,12000.0,5723.287486229353,12520.02565402928,0.45353090810142,0.45713065167621647,0.45353090810142,0.45713065167621647,120
9,5432.97033253418,12000.0,5824.785801975458,12809.829012264536,5432.97033253418,12000.0,5824.785801975458,12809.829012264536,0.45274752771118165,0.454712221091993,0.45274752771118165,0.454712221091993,135
10,5432.97033253418,12000.0,5786.993400977962,13153.737964112786,5432.97033253418,12000.0,5786.993400977962,13153.737964112786,0.45274752771118165,0.43995048531197434,0.45274752771118165,0.43995048531197434,150
11,5465.96520548975,12000.0,6361.337860210633,13479.346152142607,5465.96520548975,12000.0,6361.337860210633,13479.346152142607,0.45549710045747915,0.4719322278996053,0.45549710045747915,0.4719322278996053,165
12,5465.96520548975,12000.0,6411.0811965197645,13660.118813050884,5465.96520548975,12000.0,6411.0811965197645,13660.118813050884,0.45549710045747915,0.4693283626782671,0.45549710045747915,0.4693283626782671,180
13,5464.10316054424,12000.0,6326.070503732791,13533.512466292455,5464.10316054424,12000.0,6326.070503732791,13533.512466292455,0.45534193004535334,0.4674374460797934,0.45534193004535334,0.4674374460797934,195
14,5464.10316054424,12000.0,5804.412366845061,13370.383703074136,5464.10316054424,12000.0,5804.412366845061,13370.383703074136,0.45534193004535334,0.4341245917654931,0.45534193004535334,0.4341245917654931,210
15,5432.98321204686,12000.0,5839.718740636621,13080.683987108529,5432.98321204686,12000.0,5839.718740636621,13080.683987108529,0.452748601003905,0.44643833200097705,0.452748601003905,0.44643833200097705,225
16,5432.98321204686,12000.0,5741.412658149852,12700.755068898747,5432.98321204686,12000.0,5741.412658149852,12700.755068898747,0.452748601003905,0.4520528604011318,0.452748601003905,0.4520528604011318,240
17,5442.39299982008,12000.0,5550.758753593498,12284.941321706534,5442.39299982008,12000.0,5550.758753593498,12284.941321706534,0.4535327499850067,0.4518343725244939,0.4535327499850067,0.4518343725244939,255
18,5442.39299982008,12000.0,5546.125720239423,12229.905063185466,5442.39299982008,12000.0,5546.125720239423,12229.905063185466,0.4535327499850067,0.4534888612450806,0.4535327499850067,0.4534888612450806,270
19,5335.322994223429,12241.796611158301,5759.112736260421,12898.915869456972,5442.37089721704,12000.0,5544.1203064375295,12284.941574016108,0.43582842973884445,0.4464803704858083,0.45353090810142,0.4512939905358528,285
20,4070.8677038773603,18375.9920101009,7186.346501004091,20156.848858126774,5442.37089721704,12000.0,5734.261157795396,12700.755258227195,0.22153186079095424,0.3565213268991062,0.45353090810142,0.45148977688400865,300
21,3053.16022134622,14848.996344382,5285.779331479626,16132.953770487671,5432.97033253418,12000.0,5842.655352215474,13080.684133424878,0.20561391157600759,0.32763865852941365,0.45274752771118165,0.4466628268536676,315
22,2562.76737998441,19304.1952328076,3800.448701973915,20325.872455670582,5432.97033253418,12000.0,5791.956783590048,13370.384017506318,0.13275701727409858,0.186975919988795,0.45274752771118165,0.4331930014879478,330
23,2170.96413024061,17122.6206244063,3130.6332476842213,17908.617789893782,5465.96520548975,12000.0,6346.536120457476,13533.511877633071,0.12678924434885588,0.1748115507524486,0.45549710045747915,0.4689496841500867,345
